Estacao;Data;Hora;Evaporacao
83887;17/04/1997;0;4.2
83887;18/04/1997;0;0.6
83887;19/04/1997;0;1.8
83887;20/04/1997;0;3
83887;21/04/1997;0;2
83887;22/04/1997;0;3.5
83887;23/04/1997;0;2.5
83887;24/04/1997;0;3.5
83887;25/04/1997;0;3.5
83887;26/04/1997;0;3.6
83887;27/04/1997;0;3.5
83887;28/04/1997;0;4.8
83887;29/04/1997;0;4.8
83887;30/04/1997;0;3.9
83887;01/05/1997;0;6
83887;02/05/1997;0;5.4
83887;03/05/1997;0;5.6
83887;04/05/1997;0;3.6
83887;05/05/1997;0;2.7
83887;06/05/1997;0;2.6
83887;07/05/1997;0;3.9
83887;08/05/1997;0;4
83887;09/05/1997;0;3.9
83887;10/05/1997;0;4.7
83887;11/05/1997;0;5.3
83887;12/05/1997;0;3.2
83887;13/05/1997;0;3.6
83887;14/05/1997;0;6.2
83887;15/05/1997;0;3.7
83887;16/05/1997;0;4.6
83887;17/05/1997;0;4.2
83887;18/05/1997;0;4
83887;19/05/1997;0;5.2
83887;20/05/1997;0;4.2
83887;21/05/1997;0;1.5
83887;22/05/1997;0;0.8
83887;23/05/1997;0;1.1
83887;24/05/1997;0;2.1
83887;25/05/1997;0;0.9
83887;26/05/1997;0;1.2
83887;27/05/1997;0;1.7
83887;28/05/1997;0;1.1
83887;29/05/1997;0;0.3
83887;30/05/1997;0;1.1
83887;31/05/1997;0;2.2
83887;01/06/1997;0;2.8
